genid,id,name,cpu,mem,memperc,netin,netout,blockin,blockout,image,detuser,ip,date
d9d77b87-7087-40a5-a7a2-28d13a11689d,5049f6c48abb,recursing_cori,0.01,6.44245e+09,5.05,1.60432e+08,2.30687e+07,4.75005e+08,6.50117e+07,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clcarlos,172.27.40.109,2024-04-23 20:53:57
8340734d-36f3-4572-bc2b-63e3eb77dc51,23093d2fe9c7,frosty_lovelace,2.55,1.07374e+09,1.38,9.33233e+07,6.08174e+07,7.70703e+08,1.04858e+06,harbor.vhio.net/determine/srtools:0.24.4,clcarlos,172.27.40.109,2024-04-23 20:53:57
dd5fa275-e3c1-44ba-bb1e-d1db581fd9ab,009b31303ad0,brave_dhawan,453.09,1.15964e+11,86.1,4.1943e+06,1.25829e+07,7.5812e+08,1.07374e+09,harbor.vhio.net/determine/custom_gpu:0.24.1.3,clbernat,172.27.40.111,2024-04-23 20:54:42
599bf879-f1a8-4c72-babd-7cd37ea6f6b4,81748903fe57,funny_ishizaka,0.13,1.01712e+08,0.08,5.22191e+08,6.9206e+07,9.88807e+08,2.14748e+09,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clolivia,172.27.40.111,2024-04-23 20:54:42
d55275e0-cf1e-492c-ad8a-6a4535d0f8b1,855999a48d19,intelligent_napier,0.6,3.50224e+08,0.26,1.07374e+10,1.1489e+11,3.22123e+09,4.29497e+09,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clbernat,172.27.40.111,2024-04-23 20:54:42
0bd9f3a2-4477-40a7-aa29-4faf08b6f472,8dcd67312969,nifty_rosalind,1.76,5.36871e+09,4.72,2.55853e+08,3.51273e+08,1.22683e+08,7.1408e+08,determinedai/environments:py-3.10-pytorch-2.0-cpu-0.24.0,cldaniel,172.27.40.106,2024-04-23 20:54:47
acec6d1b-a160-4b65-855c-60ee5b84e9e9,ec57bac4e511,ecstatic_ride,0.07,2.17055e+08,0.65,7.6546e+07,5.24288e+06,1.36315e+08,1.04858e+06,determinedai/environments:py-3.10-pytorch-2.0-cpu-0.24.0,clhumaira,172.27.40.102,2024-04-23 20:54:56
978bd676-2d7d-407d-945f-971be6e217f8,5e1d18f2d053,objective_black,0.91,6.28097e+08,1.88,9.43718e+07,9.01775e+07,2.01327e+08,2.7263e+07,harbor.vhio.net/determine/custom_cpu:0.24.1.3,clalonsogarcia,172.27.40.102,2024-04-23 20:54:56
c5b7f5ca-1efb-4891-a517-e4e3c7824f23,db2514bd2f7c,pensive_kapitsa,0.04,1.07374e+09,3.46,3.28204e+08,1.04438e+09,3.3135e+08,1.66724e+08,harbor.vhio.net/determine/custom_cpu:0.24.1.3,cladria,172.27.40.102,2024-04-23 20:54:56
f04a7f43-58d2-4f64-a8fb-b6143d7e43ba,1c2e250005e4,pensive_nobel,0.01,2.4327e+08,0.73,1.30023e+08,3.25059e+07,3.10378e+08,6.50117e+07,determinedai/environments:py-3.10-pytorch-2.0-cpu-0.24.0,clariadna,172.27.40.102,2024-04-23 20:54:56
